,0
0,2008-01-01
1,2008-01-02
2,2008-01-03
3,2008-01-04
4,2008-01-05
5,2008-01-06
6,2008-01-07
7,2008-01-08
8,2008-01-09
9,2008-01-10
10,2008-01-11
11,2008-01-12
12,2008-01-13
13,2008-01-14
14,2008-01-15
15,2008-01-16
16,2008-01-17
17,2008-01-18
18,2008-01-19
19,2008-01-20
20,2008-01-21
21,2008-01-22
22,2008-01-23
23,2008-01-24
24,2008-01-25
25,2008-01-26
26,2008-01-27
27,2008-01-28
28,2008-01-29
29,2008-01-30
30,2008-01-31
31,2008-02-01
32,2008-02-02
33,2008-02-03
34,2008-02-04
35,2008-02-05
36,2008-02-06
37,2008-02-07
38,2008-02-08
39,2008-02-09
40,2008-02-10
41,2008-02-11
42,2008-02-12
43,2008-02-13
44,2008-02-14
45,2008-02-15
46,2008-02-16
47,2008-02-17
48,2008-02-18
49,2008-02-19
50,2008-02-20
51,2008-02-21
52,2008-02-22
53,2008-02-23
54,2008-02-24
55,2008-02-25
56,2008-02-26
57,2008-02-27
58,2008-02-28
59,2008-02-29
60,2008-03-01
61,2008-03-02
62,2008-03-03
63,2008-03-04
64,2008-03-05
65,2008-03-06
66,2008-03-07
67,2008-03-08
68,2008-03-09
69,2008-03-10
70,2008-03-11
71,2008-03-12
72,2008-03-13
73,2008-03-14
74,2008-03-15
75,2008-03-16
76,2008-03-17
77,2008-03-18
78,2008-03-19
79,2008-03-20
80,2008-03-21
81,2008-03-22
82,2008-03-23
83,2008-03-24
84,2008-03-25
85,2008-03-26
86,2008-03-27
87,2008-03-28
88,2008-03-29
89,2008-03-30
90,2008-03-31
91,2008-04-01
92,2008-04-02
93,2008-04-03
94,2008-04-04
95,2008-04-05
96,2008-04-06
97,2008-04-07
98,2008-04-08
99,2008-04-09
100,2008-04-10
101,2008-04-11
102,2008-04-12
103,2008-04-13
104,2008-04-14
105,2008-04-15
106,2008-04-16
107,2008-04-17
108,2008-04-18
109,2008-04-19
110,2008-04-20
111,2008-04-21
112,2008-04-22
113,2008-04-23
114,2008-04-24
115,2008-04-25
116,2008-04-26
117,2008-04-27
118,2008-04-28
119,2008-04-29
120,2008-04-30
121,2008-05-01
122,2008-05-02
123,2008-05-03
124,2008-05-04
125,2008-05-05
126,2008-05-06
127,2008-05-07
128,2008-05-08
129,2008-05-09
130,2008-05-10
131,2008-05-11
132,2008-05-12
133,2008-05-13
134,2008-05-14
135,2008-05-15
136,2008-05-16
137,2008-05-17
138,2008-05-18
139,2008-05-19
140,2008-05-20
141,2008-05-21
142,2008-05-22
143,2008-05-23
144,2008-05-24
145,2008-05-25
146,2008-05-26
147,2008-05-27
148,2008-05-28
149,2008-05-29
150,2008-05-30
151,2008-05-31
152,2008-06-01
153,2008-06-02
154,2008-06-03
155,2008-06-04
156,2008-06-05
157,2008-06-06
158,2008-06-07
159,2008-06-08
160,2008-06-09
161,2008-06-10
162,2008-06-11
163,2008-06-12
164,2008-06-13
165,2008-06-14
166,2008-06-15
167,2008-06-16
168,2008-06-17
169,2008-06-18
170,2008-06-19
171,2008-06-20
172,2008-06-21
173,2008-06-22
174,2008-06-23
175,2008-06-24
176,2008-06-25
177,2008-06-26
178,2008-06-27
179,2008-06-28
180,2008-06-29
181,2008-06-30
182,2008-07-01
183,2008-07-02
184,2008-07-03
185,2008-07-04
186,2008-07-05
187,2008-07-06
188,2008-07-07
189,2008-07-08
190,2008-07-09
191,2008-07-10
192,2008-07-11
193,2008-07-12
194,2008-07-13
195,2008-07-14
196,2008-07-15
197,2008-07-16
198,2008-07-17
199,2008-07-18
200,2008-07-19
201,2008-07-20
202,2008-07-21
203,2008-07-22
204,2008-07-23
205,2008-07-24
206,2008-07-25
207,2008-07-26
208,2008-07-27
209,2008-07-28
210,2008-07-29
211,2008-07-30
212,2008-07-31
213,2008-08-01
214,2008-08-02
215,2008-08-03
216,2008-08-04
217,2008-08-05
218,2008-08-06
219,2008-08-07
220,2008-08-08
221,2008-08-09
222,2008-08-10
223,2008-08-11
224,2008-08-12
225,2008-08-13
226,2008-08-14
227,2008-08-15
228,2008-08-16
229,2008-08-17
230,2008-08-18
231,2008-08-19
232,2008-08-20
233,2008-08-21
234,2008-08-22
235,2008-08-23
236,2008-08-24
237,2008-08-25
238,2008-08-26
239,2008-08-27
240,2008-08-28
241,2008-08-29
242,2008-08-30
243,2008-08-31
244,2008-09-01
245,2008-09-02
246,2008-09-03
247,2008-09-04
248,2008-09-05
249,2008-09-06
250,2008-09-07
251,2008-09-08
252,2008-09-09
253,2008-09-10
254,2008-09-11
255,2008-09-12
256,2008-09-13
257,2008-09-14
258,2008-09-15
259,2008-09-16
260,2008-09-17
261,2008-09-18
262,2008-09-19
263,2008-09-20
264,2008-09-21
265,2008-09-22
266,2008-09-23
267,2008-09-24
268,2008-09-25
269,2008-09-26
270,2008-09-27
271,2008-09-28
272,2008-09-29
273,2008-09-30
274,2008-10-01
275,2008-10-02
276,2008-10-03
277,2008-10-04
278,2008-10-05
279,2008-10-06
280,2008-10-07
281,2008-10-08
282,2008-10-09
283,2008-10-10
284,2008-10-11
285,2008-10-12
286,2008-10-13
287,2008-10-14
288,2008-10-15
289,2008-10-16
290,2008-10-17
291,2008-10-18
292,2008-10-19
293,2008-10-20
294,2008-10-21
295,2008-10-22
296,2008-10-23
297,2008-10-24
298,2008-10-25
299,2008-10-26
300,2008-10-27
301,2008-10-28
302,2008-10-29
303,2008-10-30
304,2008-10-31
305,2008-11-01
306,2008-11-02
307,2008-11-03
308,2008-11-04
309,2008-11-05
310,2008-11-06
311,2008-11-07
312,2008-11-08
313,2008-11-09
314,2008-11-10
315,2008-11-11
316,2008-11-12
317,2008-11-13
318,2008-11-14
319,2008-11-15
320,2008-11-16
321,2008-11-17
322,2008-11-18
323,2008-11-19
324,2008-11-20
325,2008-11-21
326,2008-11-22
327,2008-11-23
328,2008-11-24
329,2008-11-25
330,2008-11-26
331,2008-11-27
332,2008-11-28
333,2008-11-29
334,2008-11-30
335,2008-12-01
336,2008-12-02
337,2008-12-03
338,2008-12-04
339,2008-12-05
340,2008-12-06
341,2008-12-07
342,2008-12-08
343,2008-12-09
344,2008-12-10
345,2008-12-11
346,2008-12-12
347,2008-12-13
348,2008-12-14
349,2008-12-15
350,2008-12-16
351,2008-12-17
352,2008-12-18
353,2008-12-19
354,2008-12-20
355,2008-12-21
356,2008-12-22
357,2008-12-23
358,2008-12-24
359,2008-12-25
360,2008-12-26
361,2008-12-27
362,2008-12-28
363,2008-12-29
364,2008-12-30
365,2008-12-31
366,2009-01-01
367,2009-01-02
368,2009-01-03
369,2009-01-04
370,2009-01-05
371,2009-01-06
372,2009-01-07
373,2009-01-08
374,2009-01-09
375,2009-01-10
376,2009-01-11
377,2009-01-12
378,2009-01-13
379,2009-01-14
380,2009-01-15
381,2009-01-16
382,2009-01-17
383,2009-01-18
384,2009-01-19
385,2009-01-20
386,2009-01-21
387,2009-01-22
388,2009-01-23
389,2009-01-24
390,2009-01-25
391,2009-01-26
392,2009-01-27
393,2009-01-28
394,2009-01-29
395,2009-01-30
396,2009-01-31
397,2009-02-01
398,2009-02-02
399,2009-02-03
400,2009-02-04
401,2009-02-05
402,2009-02-06
403,2009-02-07
404,2009-02-08
405,2009-02-09
406,2009-02-10
407,2009-02-11
408,2009-02-12
409,2009-02-13
410,2009-02-14
411,2009-02-15
412,2009-02-16
413,2009-02-17
414,2009-02-18
415,2009-02-19
416,2009-02-20
417,2009-02-21
418,2009-02-22
419,2009-02-23
420,2009-02-24
421,2009-02-25
